total,point_in_time,tweets,indicators,other
376,2026-02-23T06:00:00+00:00,0,80,296
632,2026-02-23T07:00:00+00:00,0,162,470
884,2026-02-23T08:00:00+00:00,0,216,668
1200,2026-02-23T09:00:00+00:00,0,334,866
1269,2026-02-23T10:00:00+00:00,0,336,933
1388,2026-02-23T11:00:00+00:00,0,400,988
1670,2026-02-23T12:00:00+00:00,0,477,1193
1176,2026-02-23T13:00:00+00:00,0,289,887
1133,2026-02-23T14:00:00+00:00,0,291,842
1098,2026-02-23T15:00:00+00:00,0,286,812
1630,2026-02-23T16:00:00+00:00,0,447,1183
4080,2026-02-23T17:00:00+00:00,0,1374,2706
5581,2026-02-23T18:00:00+00:00,0,1919,3662
5631,2026-02-23T19:00:00+00:00,0,1898,3733
4093,2026-02-23T20:00:00+00:00,0,1345,2748
2333,2026-02-23T21:00:00+00:00,0,757,1576
1235,2026-02-23T22:00:00+00:00,0,393,842
420,2026-02-23T23:00:00+00:00,0,110,310
325,2026-02-24T00:00:00+00:00,0,99,226
167,2026-02-24T01:00:00+00:00,0,46,121
117,2026-02-24T02:00:00+00:00,0,31,86
166,2026-02-24T03:00:00+00:00,0,33,133
351,2026-02-24T04:00:00+00:00,0,87,264
300,2026-02-24T05:00:00+00:00,0,71,229
